DataBase Sheet (Manager) : https://docs.google.com/spreadsheets/d/1rqPLIFtqHWfkgOXIt27qm77dhEr7lsQ1gPu2oKqGiow/edit?gid=0#gid=0










Category	CategoryIcon	CategoryImage	ItemName	Price	ItemImage	Description																			
مشروبات ساخنة	fa-mug-hot	Images/hot.png	شاي	10																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	شاي حليب	30																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	شاي أخضر	15																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	شاي أخضر بالليمون	20																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	شاي كرك	40																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	شاي أحمد تي	15																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	شاي فواكه	20																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	قهوة	20																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	قهوة دبل	35																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	قهوة أبو عوف	30																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	قهوة إسبريسو	40																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	قهوة إسبريسو دبل	50																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	قهوة فرنساوي	30																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	قهوة فرنساوي دبل	50																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	قهوة شيكولاتة	35																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	قهوة بندق	35																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	قهوة بندق كراميل	45																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	قهوة فواكه	35																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	هوت سيدر	40																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	كابتشينو	30																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	كابتشينو حليب صافي	40																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	كابتشينو ماشين	60																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	موكا ماشين	65																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	ماتشا حليب	50																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	نسكافيه بلاك	20																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	نسكافيه حليب	35																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	نسكافيه حليب صافي	45																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	نسكافيه جولد	45																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	نسكافيه 3×1	25																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	نسكافيه 3×1 باللبن	45																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	كوفي مكس باللبن	35																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	هوت شوكليت	40																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	هوت شوكليت كادبوري	50																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	هوت لوتس	55																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	سحلب	40																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	سحلب فواكه	50																					
مشروبات ساخنة	fa-mug-hot	Images/hot.png	سحلب أوريو	50																					
الأعشاب	fa-leaf	Images/herbs.png	قرفة	20																					
الأعشاب	fa-leaf	Images/herbs.png	قرفة بالحليب	35																					
الأعشاب	fa-leaf	Images/herbs.png	قرفة بالجنزبيل	30																					
الأعشاب	fa-leaf	Images/herbs.png	قرفة بالجنزبيل بالحليب	35																					
الأعشاب	fa-leaf	Images/herbs.png	جنزبيل	20																					
الأعشاب	fa-leaf	Images/herbs.png	جنزبيل ليمون	25																					
